feature,importance_mean,importance_std
temperature_c,0.1644979870219384,0.005071321367708799
spo2,0.08897474738976313,0.0028297205328572973
hba1c_pct,0.07279655752452854,0.003942606497585899
headache,0.0454628723380948,0.004481692169021767
swelling_ankles,0.04405552717181256,0.002565239164729504
heartburn,0.03654921656564181,0.0020073601328577466
runny_nose,0.033733600491160545,0.0021436315732680485
systolic_bp,0.03117598999264235,0.002063417939462396
age,0.027632561538616242,0.002861073947136479
fatigue,0.02731533313429918,0.003140815127304933
chest_pain,0.026186891116383094,0.0019678938159099716
shortness_of_breath,0.024626535381201898,0.0024265431370735046
diarrhea,0.020490760432872734,0.0016057236104702914
nausea,0.019955912732581783,0.0027975941389387755
cough,0.019801045246006586,0.0038248893234803486
burning_urination,0.018707572436507357,0.00143234895658207
fasting_glucose_mg_dl,0.016712224985677725,0.0036335715025303575
total_cholesterol_mg_dl,0.016393992376369394,0.0020946816658218414
sneezing,0.014916841596430863,0.001788589772933493
dizziness,0.012554439618276968,0.001979284701435127
sore_throat,0.012216007388829619,0.001437555167142726
body_aches,0.011905035156517418,0.001106460780822821
fever,0.011798585686723994,0.0019637347597990474
diastolic_bp,0.011407792593586008,0.0028909615590920414
loss_of_smell,0.011106547816820056,0.0012127014752611985
itchy_eyes,0.011102458903310842,0.001049036117670591
wheezing,0.010031519604294669,0.0010776290489252812
frequent_urination,0.009639992327111657,0.0016184252611615632
bmi,0.005670087765682186,0.0023625915931187002
abdominal_pain,0.005475522757188189,0.0008279427296035909
vomiting,0.004859644980328881,0.0016457154142813346
increased_thirst,0.0030018736603039777,0.0009967023553695122
activity_level,0.0012937645950985566,0.0005640278344716654
heart_rate,0.0012409827798082085,0.0015036865426022398
sex,0.0012013145840245264,0.0005297153380942454
smoker,0.0009828726658272168,0.0012384554954645507
blurred_vision,0.000537298515606377,0.0006610384534843849
joint_pain,8.044465722150118e-05,0.000216736523433064
rash,-2.3675855062077478e-05,8.182011316820036e-05
