feature,importance_mean,importance_std
temperature_c,0.18115629699629188,0.005396783011813341
spo2,0.09408385880665235,0.005218694404996861
hba1c_pct,0.0746763734810276,0.0016688213097381568
headache,0.04650165006127886,0.0043046917104639796
heartburn,0.04011612867329628,0.002089168974412189
swelling_ankles,0.035536247361509954,0.002684486920956119
systolic_bp,0.03260047952776405,0.0023489354045521816
shortness_of_breath,0.03214864714202753,0.0031236056292464932
runny_nose,0.02891174293646992,0.0014559160125821584
fatigue,0.026325598232349513,0.004549204205285915
chest_pain,0.024499885302517288,0.0018857134509437047
age,0.021843100729121656,0.0029961161931534295
diarrhea,0.020593825017573886,0.0021949456071929346
burning_urination,0.019862408006805388,0.0010607656472663462
cough,0.019432426688329184,0.0026884788810578974
nausea,0.01755861324686424,0.0020730750050167892
sneezing,0.01625691034701694,0.0009988386977289663
fasting_glucose_mg_dl,0.013258880033241004,0.004011941516833428
total_cholesterol_mg_dl,0.01247725752053257,0.0027043263753783638
frequent_urination,0.012085854127812167,0.0015745640162643122
body_aches,0.011765222867483504,0.001184283662311901
sore_throat,0.011374624015176905,0.0014190789848485775
wheezing,0.010851805330054688,0.0012492944043495603
itchy_eyes,0.010702536997161505,0.0016242833227258537
fever,0.009761172469674118,0.0019349985583870508
loss_of_smell,0.009551744064185097,0.0015335431636009813
dizziness,0.008967527277472642,0.0016161142042777064
diastolic_bp,0.007186878364475113,0.002519750400196264
abdominal_pain,0.005839165796976653,0.001030566845053796
bmi,0.00509922906108864,0.002337912143245845
vomiting,0.004895816207171777,0.0013220852851084934
increased_thirst,0.0028924015378364977,0.0009762454547024657
smoker,0.0028482637054912828,0.0011975580554814543
activity_level,0.0005700189844084158,0.0010925304790934025
rash,0.00010616539896297627,0.00013602526324403514
blurred_vision,-2.483721041746101e-06,0.0005312764436507012
sex,-2.5050085557698498e-05,0.0009673929654632017
joint_pain,-0.0008649319377172394,0.0002963610608347834
heart_rate,-0.004038801981980311,0.002356142355785294
